iter	Passed	Remaining
457	1336	706
458	1338	702
459	1340	699
460	1342	695
461	1347	693
462	1350	691
463	1353	688
464	1356	685
465	1359	682
466	1362	679
467	1364	676
468	1366	673
469	1368	669
470	1371	666
471	1375	664
472	1377	661
473	1380	657
474	1382	654
475	1384	651
476	1388	649
477	1391	646
478	1393	642
479	1395	639
480	1398	636
481	1403	634
482	1407	632
483	1409	629
484	1412	625
485	1414	623
486	1418	620
487	1422	618
488	1426	615
489	1430	613
490	1433	610
491	1438	607
492	1440	604
493	1443	602
494	1446	599
495	1448	595
496	1451	592
497	1454	589
498	1456	586
499	1459	583
500	1461	580
501	1462	576
502	1464	573
503	1466	570
504	1468	566
505	1469	563
506	1471	560
507	1473	556
508	1475	553
509	1476	550
510	1478	546
511	1479	543
512	1481	540
513	1483	536
514	1484	533
515	1487	530
516	1489	527
517	1491	524
518	1493	520
519	1495	517
520	1497	514
521	1499	511
522	1502	508
523	1504	505
524	1505	501
525	1507	498
526	1508	495
527	1510	492
528	1512	488
529	1514	485
530	1517	482
531	1518	479
532	1520	476
533	1522	473
534	1524	470
535	1525	466
536	1527	463
537	1529	460
538	1531	457
539	1533	454
540	1535	451
541	1536	447
542	1538	444
543	1540	441
544	1541	438
545	1543	435
546	1545	432
547	1547	429
548	1549	426
549	1550	422
550	1552	419
551	1554	416
552	1555	413
553	1557	410
554	1559	407
555	1561	404
556	1564	401
557	1566	398
558	1568	395
559	1570	392
560	1572	389
561	1575	386
562	1577	383
563	1579	380
564	1581	377
565	1583	374
566	1585	371
567	1588	369
568	1593	366
569	1595	363
570	1597	361
571	1599	358
572	1602	355
573	1606	352
574	1608	349
575	1611	346
576	1614	344
577	1617	341
578	1622	339
579	1625	336
580	1627	333
581	1630	330
582	1633	327
583	1638	325
584	1643	323
585	1647	320
586	1650	317
587	1654	315
588	1658	312
589	1662	310
590	1666	307
591	1670	304
592	1674	302
593	1678	299
594	1682	296
595	1685	294
596	1689	291
597	1692	288
598	1695	285
599	1698	283
600	1702	280
601	1704	277
602	1708	274
603	1710	271
604	1713	269
605	1716	266
606	1719	263
607	1721	260
608	1723	257
609	1725	254
610	1727	251
611	1729	248
612	1731	245
613	1734	242
614	1736	239
615	1737	236
616	1739	234
617	1741	231
618	1743	228
619	1744	225
620	1747	222
621	1749	219
622	1750	216
623	1752	213
624	1754	210
625	1755	207
626	1757	204
627	1759	201
628	1761	198
629	1763	195
630	1765	193
631	1766	190
632	1768	187
633	1770	184
634	1771	181
635	1773	178
636	1775	175
637	1777	172
638	1780	169
639	1783	167
640	1785	164
641	1788	161
642	1793	158
643	1797	156
644	1799	153
645	1801	150
646	1803	147
647	1805	144
648	1807	142
649	1809	139
650	1811	136
651	1813	133
652	1815	130
653	1817	127
654	1820	125
655	1824	122
656	1827	119
657	1830	116
658	1833	114
659	1837	111
660	1839	108
661	1842	105
662	1844	102
663	1847	100
664	1850	97
665	1852	94
666	1854	91
667	1856	88
668	1858	86
669	1860	83
670	1863	80
671	1867	77
672	1869	75
673	1872	72
674	1874	69
675	1877	66
676	1881	63
677	1885	61
678	1887	58
679	1890	55
680	1893	52
681	1895	50
682	1898	47
683	1901	44
684	1903	41
685	1906	38
686	1909	36
687	1912	33
688	1914	30
689	1917	27
690	1920	25
691	1924	22
692	1929	19
693	1933	16
694	1937	13
695	1941	11
696	1945	8
697	1949	5
698	1953	2
699	1957	0
