,대표식품코드,대표식품명,식품유형,식품분류(대),식품분류(중),식품분류(소),대표식품 내 전통식품수
0,100003,가루전병,복합식품,부식,구이류,전,1
1,100004,가물치국,복합식품,부식,국류,토장국,3
2,100005,가물치회,복합식품,부식,회류,생회,5
3,100009,가시연꽃열매,단일식품,조미식,양념류,양념류,1
4,100010,가시연밥,복합식품,주식,밥류,기타,9
5,100016,가오리어채,복합식품,부식,회류,기타,1
6,100017,가이주,복합식품,주류,기타,기타,1
7,100018,가자미,단일식품,기타,기타,기타,1
8,100019,가자미국,복합식품,부식,국류,기타,1
9,100020,가자미젓,복합식품,부식,젓갈류,발효젓,2
10,100021,가자미조림,복합식품,부식,찜류,조림,1
11,100022,가자미찌개,복합식품,부식,전골류,찌개,1
12,100024,가지,단일식품,기타,기타,기타,2
13,100028,가지국,복합식품,부식,국류,맑은장국,2
14,100029,가지김치,복합식품,부식,김치,야채김치,13
15,100030,가지나물,복합식품,부식,나물류,숙채,9
16,100031,가지누르미,복합식품,부식,구이류,구이,1
17,100033,가지말림,단일식품,기타,기타,기타,2
18,100034,가지선,복합식품,부식,찜류,선,4
19,100035,가지장,복합식품,조미식,장류,기타,1
20,100037,가지장아찌,복합식품,부식,장아찌류,장아찌,10
21,100039,가지전,복합식품,부식,구이류,전,2
22,100040,가지절임,복합식품,기타,기타,기타,12
23,100041,가지조림,복합식품,기타,기타,기타,5
24,100042,가지지,복합식품,기타,기타,기타,4
25,100043,가지지게미,복합식품,기타,기타,기타,2
26,100044,가지지게미절임,복합식품,기타,기타,기타,7
27,100047,가지찜,단일식품,부식,찜류,찜,9
28,100050,가집장,복합식품,조미식,장류,기타,1
29,100051,가짜장,복합식품,조미식,장류,기타,1
30,100052,가초선,복합식품,부식,회류,생회,1
31,100053,가화육,복합식품,부식,회류,생회,1
32,100054,간,단일식품,부식,찜류,볶음,1
33,100055,간구이,복합식품,기타,기타,기타,3
34,100057,간무침,복합식품,부식,장아찌류,기타,1
35,100058,간볶음,복합식품,부식,찜류,볶음,2
36,100060,간장,복합식품,조미식,장류,간장,18
37,100061,간장게장,복합식품,부식,젓갈류,발효젓,4
38,100062,간장구이,복합식품,부식,구이류,구이,1
39,100064,간전,복합식품,부식,구이류,전유어,11
40,100066,간조림,복합식품,부식,찜류,조림,1
41,100067,간회,복합식품,부식,회류,기타,1
42,100068,갈근,단일식품,기타,기타,기타,2
43,100069,갈근시루떡,복합식품,기호식,떡류,찐떡,1
44,100070,갈대가루면,복합식품,주식,면류,국수,1
45,100071,갈대잎찰밥,복합식품,주식,밥류,흰밥,1
46,100072,갈분국,복합식품,주식,면류,국수,1
47,100074,갈분다식,복합식품,기호식,한과류,다식,1
48,100075,갈분사면화채,복합식품,주식,면류,국수,1
49,100076,갈분응이,복합식품,주식,죽류,응이,7
50,100078,갈비구이,복합식품,부식,구이류,구이,8
51,100081,갈비숙회,복합식품,부식,회류,기타,1
52,100083,갈비찜,복합식품,부식,찜류,찜,13
53,100084,갈비탕,복합식품,부식,국류,탕류,9
54,100086,갈치젓,복합식품,부식,젓갈류,발효젓,1
55,100087,갈치조림,복합식품,부식,찜류,조림,2
56,100088,감,단일식품,기타,기타,기타,3
57,100090,감국,복합식품,기타,기타,기타,3
58,100091,감국나물,복합식품,부식,나물류,숙채,2
59,100092,감국싹죽,복합식품,주식,죽류,죽,1
60,100093,감국잎,단일식품,조미식,양념류,고명류,1
61,100094,감국전,복합식품,부식,구이류,전,1
62,100096,귤,단일식품,기타,기타,기타,7
63,100098,귤정과,복합식품,기호식,한과류,정과,5
64,100100,감꼭지,단일식품,조미식,양념류,양념류,1
65,100102,감떡,복합식품,기호식,떡류,찐떡,7
66,100106,감사과,복합식품,기호식,한과류,유밀과,16
67,100107,감스프,복합식품,기타,기타,기타,1
68,100108,감식초,복합식품,조미식,양념류,양념류,8
69,100110,감나무잎전,복합식품,부식,구이류,전,1
70,100117,감자만두,복합식품,주식,면류,만두,1
71,100118,감자밥,복합식품,주식,밥류,기타,3
72,100119,감자병,복합식품,기호식,떡류,기타,3
73,100120,감자장아찌,복합식품,부식,장아찌류,장아찌,2
74,100122,감자조림,복합식품,부식,찜류,조림,4
75,100123,감자튀김,복합식품,기타,기타,기타,1
76,100126,감주,복합식품,주류,양조곡주,순곡주류,7
77,100127,감창약,복합식품,기타,기타,기타,1
78,100128,감초,단일식품,기타,기타,기타,4
79,100129,감초탕,복합식품,주식,죽류,죽,2
80,100132,감화부,복합식품,부식,찜류,찜,1
81,100133,소내장회,단일식품,부식,회류,생회,21
82,100134,갓김치,복합식품,부식,김치,야채김치,8
83,100135,갓말림,단일식품,기타,기타,기타,1
84,100138,갓절임,복합식품,기타,기타,기타,4
85,100139,갓채,복합식품,부식,나물류,생채,2
86,100140,귤차,복합식품,기호식,음청류,다류,6
87,100141,강낭콩,단일식품,기타,기타,기타,1
88,100142,강된장,복합식품,조미식,장류,된장,1
89,100143,강분다식,복합식품,기호식,한과류,다식,1
90,100145,강정,복합식품,기호식,한과류,유과,36
91,100146,강정고명,복합식품,기호식,한과류,유과,2
92,100150,강죽차,복합식품,기호식,음청류,다류,3
93,100153,개고기,단일식품,부식,찜류,기타,8
94,100155,개고기구이,복합식품,부식,구이류,구이,1
95,100156,개고기동아찜,복합식품,부식,찜류,찜,5
96,100157,개고기절임,복합식품,기타,기타,기타,1
97,100158,개고기찜,복합식품,부식,찜류,찜,3
98,100160,개떡,복합식품,기호식,떡류,기타,1
99,100161,개순대,복합식품,기타,기타,기타,1
100,100162,개술,복합식품,주류,양조곡주,혼양곡주류,1
101,100163,개암기름,복합식품,조미식,양념류,양념류,1
102,100164,개암죽,복합식품,주식,죽류,죽,2
103,100166,개장,복합식품,부식,국류,기타,4
104,100167,개장국누르미,복합식품,부식,구이류,구이,2
105,100169,개장찜,복합식품,부식,찜류,찜,1
106,100170,개피떡,복합식품,기호식,떡류,찐떡,7
107,100171,갱미죽,복합식품,주식,죽류,죽,1
108,100174,거위,단일식품,부식,구이류,구이,2
109,100176,거위구이,복합식품,부식,구이류,구이,1
110,100177,거위기름죽,복합식품,부식,국류,탕류,1
111,100178,거위만두,복합식품,주식,면류,만두,2
112,100179,거위식해,복합식품,부식,젓갈류,식해,1
113,100181,거위절임,복합식품,부식,장아찌류,기타,1
114,100182,거위젓갈,복합식품,부식,젓갈류,발효젓,1
115,100184,거위포,복합식품,부식,장아찌류,기타,2
116,100186,건강법,기타,기타,기타,기타,1
117,100187,건시단자,복합식품,기호식,떡류,친떡,5
118,100188,건알판,복합식품,기타,기타,기타,1
119,100189,건약채방,복합식품,기타,보관법,,1
120,100190,건어물죽,복합식품,주식,죽류,죽,1
121,100191,건전편,복합식품,부식,구이류,전,1
122,100193,건함시,복합식품,부식,장아찌류,기타,1
123,100194,검인가루,복합식품,기타,기타,기타,1
124,100195,겉보리,복합식품,주류,기타,기타,1
125,100196,게,단일식품,부식,회류,생회,6
126,100201,게간랍,복합식품,기타,기타,기타,1
127,100202,게구이,복합식품,부식,구이류,구이,5
128,100203,게국,복합식품,부식,국류,기타,5
129,100206,게맥황장,복합식품,부식,젓갈류,발효젓,1
130,100208,게무침,복합식품,부식,회류,초회,1
131,100209,게묵나물,복합식품,부식,나물류,숙채,4
132,100211,게살만두,복합식품,주식,면류,만두,2
133,100212,게술,복합식품,주류,기타,기타,1
134,100213,게알조치,복합식품,부식,전골류,찌개,1
135,100214,게알찌개,복합식품,부식,전골류,찌개,1
136,100216,게장,복합식품,부식,젓갈류,발효젓,25
137,100217,게적,복합식품,부식,구이류,적,2
138,100218,게전,복합식품,부식,구이류,전,15
139,100220,게젓,복합식품,부식,젓갈류,발효젓,26
140,100222,게조치,복합식품,부식,전골류,찌개,1
141,100224,게찌개,복합식품,부식,전골류,찌개,3
142,100225,게찜,복합식품,부식,찜류,찜,12
143,100226,게탕,복합식품,부식,국류,탕류,8
144,100227,게포,복합식품,부식,장아찌류,기타,1
145,100229,게회,복합식품,부식,회류,생회,1
146,100231,겨자,단일식품,기타,기타,기타,26
147,100236,겨자절임,복합식품,기타,기타,기타,1
148,100237,겨자김치,복합식품,부식,김치,야채김치,3
149,100238,겨자선,복합식품,부식,찜류,선,1
150,100240,겨자장,복합식품,조미식,양념류,양념류,1
151,100241,겨자즙,복합식품,조미식,양념류,양념류,5
152,100242,겨자집,복합식품,조미식,양념류,양념류,1
153,100243,겨자채,복합식품,부식,나물류,생채,8
154,100244,견과정과,복합식품,기호식,한과류,정과,1
155,100245,결명자,단일식품,기호식,음청류,음료류,2
156,100247,겸절병,복합식품,기호식,떡류,지진떡,1
157,100248,경감주,복합식품,주류,양조곡주,순곡주류,1
158,100249,경단,복합식품,기호식,떡류,삶은떡,6
159,100250,경단음료,복합식품,기호식,음청류,음료류,1
160,100251,경단튀김,복합식품,기호식,한과류,유밀과,1
161,100252,경대국수,복합식품,주식,면류,국수,2
162,100254,경면녹파주,복합식품,주류,양조곡주,순곡주류,5
163,100255,경액춘주,복합식품,주류,양조곡주,순곡주류,2
164,100256,경장주,복합식품,주류,양조곡주,순곡주류,2
165,100257,경지절임,복합식품,기타,기타,기타,1
166,100258,계강과,복합식품,기호식,한과류,유밀과,6
167,100259,계당주,복합식품,주류,증류주,약용증류주,2
168,100260,계명주,복합식품,주류,양조곡주,혼양곡주류,2
169,100261,계소떡,복합식품,기호식,떡류,기타,1
170,100263,계심,단일식품,기타,기타,기타,1
171,100264,계심주,복합식품,주류,기타,기타,1
172,100266,계피,단일식품,기타,기타,기타,5
173,100267,계피가루차,복합식품,기호식,음청류,기타,1
174,100268,계피강정,복합식품,기호식,한과류,유과,6
175,100269,계피다식,복합식품,기호식,한과류,다식,3
176,100271,계피주,복합식품,주류,양조곡주,혼양곡주류,2
177,100272,계피죽,복합식품,주식,죽류,죽,1
178,100275,고구마밥,복합식품,주식,밥류,흰밥,2
179,100276,고구마산자,복합식품,기호식,한과류,유과,1
180,100280,고기,단일식품,기타,기타,기타,16
181,100291,고기구이,복합식품,기타,기타,기타,9
182,100292,고기국,복합식품,부식,국류,기타,2
183,100293,고기국수,복합식품,주식,면류,국수,3
184,100296,고기만두,복합식품,주식,면류,만두,1
185,100297,고기말림,단일식품,기타,기타,기타,2
186,100300,고기산적,복합식품,부식,구이류,적,4
187,100302,고기수육,복합식품,기타,기타,기타,18
188,100303,고기수제비,복합식품,부식,국류,탕류,1
189,100304,고기스프,복합식품,기타,기타,기타,1
190,100305,고기식해,복합식품,부식,젓갈류,식해,1
191,100306,고기양념,복합식품,부식,구이류,구이,1
192,100308,고기장,복합식품,부식,찜류,조림,3
193,100309,고기떡,복합식품,기타,기타,기타,1
194,100310,고기장조림,복합식품,부식,찜류,조림,4
195,100311,고기전골,복합식품,부식,전골류,전골,1
196,100313,고기절임,복합식품,기타,기타,기타,1
197,100314,고기젓갈,복합식품,부식,젓갈류,기타,1
198,100315,고기죽,복합식품,주식,죽류,죽,1
199,100316,고기탕,복합식품,부식,국류,탕류,3
200,100317,고기포접,복합식품,부식,장아찌류,기타,1
201,100319,고둥국,복합식품,부식,찜류,초,1
202,100320,고둥죽,복합식품,주식,죽류,죽,1
203,100322,고등어숙회,복합식품,부식,회류,숙회,1
204,100323,고등어젓,복합식품,부식,젓갈류,발효젓,1
205,100324,고등어조림,복합식품,부식,찜류,조림,2
206,100325,고등어찌개,복합식품,부식,전골류,찌개,1
207,100327,고라니주,복합식품,주류,양조곡주,혼양곡주류,2
208,100328,고락찌개,복합식품,부식,전골류,찌개,1
209,100330,고량강죽,복합식품,주식,죽류,죽,1
210,100332,고리,단일식품,기타,기타,기타,2
211,100334,고리초,복합식품,기타,기타,기타,1
212,100335,고물전유어,복합식품,부식,구이류,전유어,1
213,100337,고본주,복합식품,주류,양조곡주,혼양곡주류,4
214,100338,고비나물,단일식품,부식,나물류,숙채,8
215,100339,고사떡,복합식품,기호식,떡류,기타,1
216,100340,고사리,단일식품,기타,기타,기타,7
217,100344,고사리국,복합식품,부식,국류,맑은장국,5
218,100345,고사리나물,단일식품,부식,나물류,숙채,4
219,100346,고사리말림,단일식품,부식,나물류,기타,2
220,100347,고사리무침,복합식품,부식,나물류,숙채,1
221,100348,고사리장아찌,복합식품,기타,기타,기타,1
222,100349,고사리절임,복합식품,기타,기타,기타,1
223,100350,고사리찜,복합식품,부식,찜류,찜,6
224,100353,고수초무침,복합식품,부식,나물류,생채,1
225,100355,고순자채저법,복합식품,부식,나물류,생채,1
226,100357,고아주,복합식품,주류,기타,기타,1
227,100358,고욤,단일식품,기타,기타,기타,1
228,100363,고제탕,복합식품,부식,국류,탕류,2
229,100366,고추김치,복합식품,부식,김치,야채김치,1
230,100367,고추무침,복합식품,부식,나물류,숙채,2
231,100368,고추찜,복합식품,부식,찜류,찜,1
232,100369,고추볶음,복합식품,부식,찜류,볶음,1
233,100371,고추잎김치,복합식품,부식,김치,야채김치,1
234,100372,고추잎나물,복합식품,부식,나물류,숙채,1
235,100373,고추잎장아찌,복합식품,부식,장아찌류,장아찌,8
236,100375,고추장,복합식품,조미식,장류,고추장,29
237,100378,고추장구이,복합식품,부식,구이류,구이,1
238,100380,고추장메주,복합식품,조미식,장류,기타,2
239,100382,고추장볶음,복합식품,조미식,장류,고추장,2
240,100383,고추장아찌,복합식품,부식,장아찌류,장아찌,2
241,100384,고추장찌개,복합식품,부식,전골류,찌개,5
242,100385,고추적,복합식품,부식,구이류,적,1
243,100386,고추전,복합식품,부식,구이류,전,2
244,100390,곡식,단일식품,기타,기타,기타,1
245,100392,곤약,복합식품,기타,기타,기타,2
246,100393,곤쟁이,단일식품,부식,젓갈류,발효젓,2
247,100395,곤쟁이젓,복합식품,부식,젓갈류,발효젓,1
248,100396,곤쟁이젓김치,복합식품,부식,김치,배추김치,3
249,100397,곤쟁이젓깍두기,복합식품,부식,김치,무김치,1
250,100399,곤포죽,복합식품,주식,죽류,죽,1
251,100400,골무떡,복합식품,기호식,떡류,친떡,1
252,100402,골스프,복합식품,기타,기타,기타,1
253,100403,골전,복합식품,부식,구이류,전유어,4
254,100405,골조치,복합식품,부식,전골류,찌개,1
255,100406,골탕,복합식품,부식,국류,탕류,10
256,100407,곰,단일식품,기타,기타,기타,3
257,100410,곰국,복합식품,부식,국류,곰국,10
258,100411,곰발바닥,복합식품,기타,기타,기타,2
259,100413,곰찜,복합식품,부식,찜류,찜,1
260,100416,곰치쌈,복합식품,부식,나물류,기타,1
261,100420,곰탕,복합식품,부식,국류,곰국,1
262,100421,곱장떡,복합식품,기호식,떡류,기타,1
263,100422,공갈빵,복합식품,기타,기타,기타,1
264,100424,곶감,복합식품,기호식,한과류,기타,4
265,100426,곶감떡,복합식품,기호식,떡류,친떡,3
266,100427,곶감쌈,복합식품,부식,나물류,기타,2
267,100428,곶감죽,복합식품,부식,국류,토장국,3
268,100429,곶감찜,복합식품,부식,찜류,찜,1
269,100430,과년건육법,복합식품,기타,보관법,,1
270,100431,과동감백주,복합식품,주류,양조곡주,순곡주류,1
271,100434,과일,기술,기타,기타,기타,5
272,100435,과일인절미,복합식품,기호식,떡류,찐떡,1
273,100436,과자,복합식품,기호식,한과류,기타,3
274,100437,과주,복합식품,주류,양조곡주,순곡주류,1
275,100438,과줄,복합식품,기타,기타,기타,1
276,100439,과채당초절임,복합식품,기타,기타,기타,1
277,100440,과하주,복합식품,주류,양조곡주,혼양곡주류,30
278,100443,관묵,복합식품,부식,장아찌류,기타,2
279,100446,관전자,복합식품,부식,찜류,찜,1
280,100447,관중,복합식품,기타,기타,기타,1
281,100448,관폐,복합식품,기타,기타,기타,1
282,100449,광어,단일식품,기타,기타,기타,1
283,100451,광제주,복합식품,주류,양조곡주,순곡주류,1
284,100452,광주백당,복합식품,조미식,양념류,양념류,2
285,100453,교맥면,복합식품,주식,면류,기타,1
286,100454,교백절임,복합식품,기타,기타,기타,1
287,100456,교주,복합식품,주류,기타,기타,1
288,100457,교침해,복합식품,부식,젓갈류,발효젓,1
289,100458,구가주,복합식품,주류,기타,기타,1
290,100461,구기자,단일식품,기타,기타,기타,2
291,100462,구기자나물,단일식품,부식,나물류,숙채,2
292,100466,구기자잎죽,복합식품,주식,죽류,죽,1
293,100467,구기자주,복합식품,주류,양조곡주,혼양곡주류,14
294,100468,구기자죽,복합식품,주식,죽류,죽,4
295,100469,구기자즙,복합식품,주식,죽류,즙,1
296,100470,구기자차,단일식품,기호식,음청류,다류,8
297,100472,구두주,복합식품,주류,기타,기타,2
298,100473,구이,복합식품,부식,구이류,구이,1
299,100474,구일주,복합식품,주류,기타,기타,3
300,100475,구자,단일식품,기타,기타,기타,1
301,100476,구자탕,복합식품,부식,국류,탕류,1
302,100477,구절판,복합식품,부식,나물류,숙채,5
303,100478,구절편,복합식품,기호식,떡류,지진떡,1
304,100480,구황,단일식품,주식,기타,기타,2
305,100483,구황주,복합식품,주류,양조곡주,순곡주류,2
306,100485,국미주,복합식품,주류,증류주,순곡증류주,1
307,100486,국수,복합식품,주식,면류,국수,27
308,100487,국수물,복합식품,부식,국류,기타,1
309,100488,국수비빔,복합식품,주식,면류,국수,6
310,100489,국수장국,복합식품,주식,면류,국수,4
311,100490,국화,단일식품,기타,기타,기타,2
312,100491,국화떡,복합식품,조미식,양념류,양념류,1
313,100492,국화면,복합식품,기호식,음청류,화채,1
314,100495,국화잎주악,복합식품,기호식,떡류,지진떡,1
315,100497,국화전,복합식품,부식,구이류,전,2
316,100499,국화주,복합식품,주류,양조곡주,혼양곡주류,17
317,100500,국화차,단일식품,기호식,음청류,다류,9
318,100503,과일떡,단일식품,기호식,떡류,기타,1
319,100504,군떡,단일식품,기호식,떡류,기타,3
320,100505,군만두,단일식품,주식,면류,만두,3
321,100509,군배,단일식품,기타,기타,기타,1
322,100511,굴,단일식품,기타,기타,기타,3
323,100513,굴국,복합식품,부식,국류,기타,2
324,100514,굴김치,복합식품,부식,김치,기타,9
325,100515,굴깍두기,복합식품,부식,김치,무김치,5
326,100517,굴만두,복합식품,주식,면류,만두,2
327,100518,굴밥,복합식품,주식,밥류,기타,3
328,100519,굴비,단일식품,기타,기타,기타,4
329,100520,굴비찌개,복합식품,부식,전골류,찌개,2
330,100521,굴스프,복합식품,기타,기타,기타,1
331,100522,굴연포탕,복합식품,부식,국류,탕류,2
332,100524,굴자반,복합식품,부식,장아찌류,기타,1
333,100526,굴전,복합식품,부식,구이류,전,9
334,100527,굴전골,복합식품,부식,전골류,전골,1
335,100529,굴젓,복합식품,부식,젓갈류,발효젓,15
336,100530,굴조개,복합식품,부식,구이류,구이,1
337,100531,굴조개구이,복합식품,부식,구이류,구이,1
338,100532,굴죽,복합식품,주식,죽류,죽,6
339,100533,굴찌개,복합식품,부식,전골류,찌개,2
340,100534,굴탕,복합식품,부식,국류,탕류,1
341,100535,굴회,단일식품,부식,회류,생회,7
342,100538,음료,복합식품,기호식,음청류,음료류,1
343,100540,권전병,복합식품,기호식,떡류,지진떡,3
344,100541,귀리떡,복합식품,기호식,떡류,기타,1
345,100542,귀리소주,복합식품,주류,증류주,순곡증류주,1
346,100545,귤껍질,단일식품,기타,기타,기타,3
347,100548,귤떡,복합식품,기호식,떡류,찐떡,7
348,100557,귤화채,복합식품,기호식,음청류,화채,3
349,100558,귤환,복합식품,기타,기타,기타,1
350,100559,금강동탕,복합식품,부식,국류,탕류,1
351,100564,금중탕,복합식품,부식,국류,탕류,1
352,100566,급장,복합식품,조미식,장류,기타,10
353,100567,급주,복합식품,주류,양조곡주,순곡주류,4
354,100568,급초,복합식품,조미식,양념류,양념류,1
355,100569,기국차,단일식품,기호식,음청류,다류,4
356,100573,기름,단일식품,조미식,양념류,양념류,3
357,100576,기름장,복합식품,조미식,장류,기타,1
358,100577,기와다식,복합식품,기호식,한과류,다식,1
359,100578,기장국수,복합식품,주식,면류,국수,1
360,100580,기장쌀죽,복합식품,주식,죽류,죽,1
361,100581,기장인절미,복합식품,기호식,떡류,친떡,1
362,100583,기증편,복합식품,기호식,떡류,찐떡,1
363,100584,기화청장,복합식품,조미식,장류,간장,1
364,100586,김구이,단일식품,부식,구이류,구이,1
365,100587,김냉국,복합식품,부식,국류,기타,9
366,100588,김무침,복합식품,부식,나물류,숙채,4
367,100589,김밥,복합식품,주식,밥류,기타,1
368,100590,김부각,복합식품,부식,장아찌류,부각,2
369,100591,김쌈,복합식품,부식,장아찌류,기타,5
370,100592,김자반,복합식품,부식,장아찌류,기타,5
371,100594,김치,복합식품,부식,김치,기타,15
372,100597,김치냉면,복합식품,주식,면류,냉면,5
373,100599,김치밥,복합식품,주식,밥류,흰밥,4
374,100600,김치소,복합식품,부식,김치,기타,2
375,100601,김치쌈,복합식품,부식,장아찌류,기타,1
376,100603,김치적,복합식품,부식,구이류,적,1
377,100604,김치전,복합식품,부식,전골류,찌개,2
378,100605,김치죽,복합식품,주식,죽류,죽,2
379,100607,김치찌개,복합식품,부식,전골류,찌개,2
380,100608,김튀각,복합식품,부식,장아찌류,기타,2
381,100609,까치콩죽,복합식품,주식,죽류,죽,1
382,100610,깍두기,복합식품,부식,김치,무김치,12
383,100611,깨,단일식품,조미식,양념류,양념류,3
384,100612,깨강정,복합식품,기호식,한과류,유과,10
385,100613,깨경단,복합식품,기호식,떡류,삶은떡,1
386,100614,깨국,복합식품,기호식,음청류,음료류,10
387,100615,깨국수,복합식품,주식,면류,국수,1
388,100617,깨다식,복합식품,기호식,한과류,다식,5
389,100618,깨떡,복합식품,기호식,떡류,기타,3
390,100620,깨보숭이,복합식품,기타,기타,기타,1
391,100621,깨산자,복합식품,기호식,한과류,유과,1
392,100622,깨설기,복합식품,기호식,떡류,찐떡,17
393,100623,깨소금,복합식품,조미식,양념류,양념류,3
394,100624,깨엿,복합식품,기호식,한과류,기타,3
395,100628,깨잎쌈,복합식품,부식,나물류,기타,7
396,100629,깨잎장아찌,복합식품,부식,장아찌류,장아찌,2
397,100630,깨잎찌개,복합식품,부식,전골류,찌개,1
398,100631,깨장,복합식품,조미식,장류,된장,2
399,100633,깨죽,복합식품,주식,죽류,죽,4
400,100634,깨편,복합식품,기호식,떡류,찐떡,3
401,100635,꼬막구이,복합식품,부식,구이류,구이,1
402,100636,꼴뚜기구이,복합식품,부식,구이류,구이,3
403,100638,꼴뚜기젓,복합식품,부식,젓갈류,발효젓,1
404,100639,꼽장떡,복합식품,기호식,떡류,기타,1
405,100641,꽃소금,복합식품,조미식,양념류,양념류,1
406,100642,꽃전,복합식품,기호식,떡류,지진떡,4
407,100645,꿀,단일식품,조미식,양념류,양념류,3
408,100646,꿀경단,복합식품,기호식,떡류,삶은떡,1
409,100647,꿀떡,복합식품,기호식,떡류,찐떡,5
410,100649,꿀반죽군떡,복합식품,기호식,떡류,지진떡,2
411,100651,꿀사탕,복합식품,조미식,양념류,양념류,1
412,100652,꿀설기,복합식품,기호식,떡류,찐떡,1
413,100653,꿀소,복합식품,기호식,떡류,기타,1
414,100655,꿀술,복합식품,주류,기타,기타,7
415,100656,꿀식초,복합식품,조미식,양념류,양념류,1
416,100658,꿀죽,복합식품,기호식,한과류,기타,1
417,100659,꿀타래,복합식품,기타,기타,기타,1
418,100660,꿀팥죽,복합식품,주식,죽류,죽,1
419,100661,꿀편,복합식품,기호식,떡류,찐떡,7
420,100662,꿀황랍,복합식품,조미식,양념류,양념류,1
421,100663,꿩,단일식품,부식,구이류,구이,4
422,100664,꿩김치,복합식품,부식,김치,기타,7
423,100665,꿩구이,복합식품,부식,구이류,구이,32
424,100666,꿩국,복합식품,부식,국류,기타,3
425,100670,꿩냉면,복합식품,주식,면류,냉면,1
426,100672,꿩만두,복합식품,주식,면류,만두,10
427,100673,꿩밀떡구이,복합식품,부식,구이류,구이,1
428,100674,꿩볶음,복합식품,부식,김치,기타,3
429,100675,꿩수제비,복합식품,주식,면류,수제비,1
430,100676,꿩식해,복합식품,부식,젓갈류,식해,1
431,100677,꿩장,복합식품,조미식,장류,된장,2
432,100678,꿩장조림,복합식품,부식,찜류,조림,1
433,100679,꿩적,복합식품,부식,구이류,적,4
434,100680,꿩전,복합식품,부식,구이류,전,3
435,100681,꿩전골,복합식품,부식,전골류,전골,3
436,100683,꿩조림,복합식품,부식,찜류,조림,4
437,100684,꿩죽,복합식품,부식,국류,맑은장국,1
438,100686,꿩찜,복합식품,부식,찜류,찜,6
439,100687,꿩초,복합식품,부식,찜류,볶음,2
440,100690,꿩포,복합식품,부식,장아찌류,기타,3
441,100691,꿩회,복합식품,부식,회류,생회,1
442,100692,나귀곰국,복합식품,부식,국류,기타,1
443,100693,나귀머리,복합식품,기타,기타,기타,1
444,100694,나물,기술,부식,나물류,숙채,9
445,100699,나물김치,복합식품,부식,김치,야채김치,2
446,100700,나물무침,복합식품,부식,나물류,숙채,1
447,100703,나물찌기,복합식품,기타,기타,기타,1
448,100704,나박김치,복합식품,부식,김치,무김치,12
449,100705,나복병,복합식품,기호식,떡류,기타,2
450,100706,낙,단일식품,기타,기타,기타,1
451,100707,낙산춘,복합식품,주류,양조곡주,순곡주류,1
452,100709,낙지,단일식품,기타,기타,기타,2
453,100710,낙지누르미,복합식품,부식,구이류,구이,1
454,100711,낙지백숙,복합식품,부식,국류,곰국,1
455,100713,낙지자반,복합식품,부식,장아찌류,기타,1
456,100714,낙지전,복합식품,부식,구이류,전,13
457,100715,낙지전골,복합식품,부식,전골류,전골,4
458,100717,낙지찜,복합식품,부식,찜류,찜,1
459,100718,낙지채,복합식품,기타,기타,기타,1
460,100719,낙지포,복합식품,부식,구이류,구이,1
461,100721,낙지회,단일식품,부식,회류,생회,2
462,100723,난만두,복합식품,주식,면류,만두,1
463,100724,난면,복합식품,주식,면류,국수,5
464,100725,난숙,복합식품,부식,회류,편육,1
465,100726,난장,복합식품,조미식,장류,된장,1
466,100727,난적,복합식품,부식,구이류,적,2
467,100728,남성주,복합식품,주류,양조곡주,순곡주류,2
468,100729,납육,복합식품,기타,기타,기타,5
469,100730,납조,기술,기타,보관법,,1
470,100731,낭화,복합식품,기타,기타,기타,1
471,100733,내부비전국,복합식품,주류,기타,기타,1
472,100734,내장산적,복합식품,부식,구이류,구이,1
473,100735,냉면,복합식품,주식,면류,냉면,15
474,100736,냉이,단일식품,부식,나물류,기타,1
475,100737,냉이국,복합식품,부식,국류,기타,7
476,100738,냉이나물,복합식품,부식,나물류,숙채,1
477,100739,냉이무침,복합식품,부식,나물류,기타,1
478,100740,냉이죽,복합식품,부식,나물류,기타,3
479,100741,냉채,복합식품,부식,나물류,냉채,1
480,100742,너비아니,복합식품,부식,구이류,기타,6
481,100743,넘나물,복합식품,기호식,음청류,화채,2
482,100744,넘나물채,복합식품,부식,나물류,숙채,1
483,100745,넙치국,복합식품,부식,국류,맑은장국,5
484,100746,넙치알젓,복합식품,부식,젓갈류,발효젓,1
485,100748,노각겨자김치,복합식품,부식,김치,야채김치,1
486,100749,노각나물,복합식품,부식,나물류,숙채,1
487,100750,노각생채,복합식품,부식,나물류,생채,2
488,100751,노각장아찌,복합식품,부식,장아찌류,장아찌,1
489,100753,노루고기,복합식품,부식,구이류,구이,1
490,100756,노루고기전골,복합식품,부식,전골류,전골,1
491,100757,노루고기포,복합식품,부식,장아찌류,기타,1
492,100760,노산춘,복합식품,주류,양조곡주,순곡주류,1
493,100761,노을주,복합식품,주류,양조곡주,순곡주류,1
494,100762,노주,복합식품,주류,기타,기타,8
495,100765,녹각죽,복합식품,주식,죽류,죽,1
496,100766,녹두,단일식품,조미식,기타,기타,2
497,100767,녹두가루,단일식품,조미식,기타,기타,2
498,100768,녹두가루다식,복합식품,기호식,한과류,다식,4
499,100770,녹두국수,복합식품,주식,면류,국수,4
500,100772,녹두가루편,복합식품,기호식,한과류,정과,1
501,100773,녹두누룩,복합식품,주류,기타,기타,3
