"		192",柳林,2016-05-12,63.4,27
"		192",柳林,2016-05-13,71.8,40
"		192",柳林,2016-05-14,63.3,31
"		192",柳林,2016-05-15,79.9,67
"		192",柳林,2016-05-16,58.1,21
"		192",柳林,2016-05-17,53.8,19
"		192",柳林,2016-05-18,56.8,11
"		192",柳林,2016-05-19,58.6,14
"		192",柳林,2016-05-20,55.4,21
"		192",柳林,2016-05-21,54,12
"		192",柳林,2016-05-22,51.8,16
"		192",柳林,2016-05-23,56.8,25
"		192",柳林,2016-05-24,86.5,65
"		192",柳林,2016-05-25,68.1,37
"		192",柳林,2016-05-26,64.9,31
"		192",柳林,2016-05-27,56.8,25
"		192",柳林,2016-05-28,66.3,30
"		192",柳林,2016-05-29,74.1,40
"		192",柳林,2016-05-30,58.9,18
"		192",柳林,2016-05-31,62.4,22
"		192",柳林,2016-06-01,57.4,26
"		192",柳林,2016-06-02,56,20
"		192",柳林,2016-06-03,54.5,26
"		192",柳林,2016-06-04,80.8,55
"		192",柳林,2016-06-05,60.9,36
"		192",柳林,2016-06-06,80.3,61
"		192",柳林,2016-06-07,76.9,51
"		192",柳林,2016-06-08,80,64
"		192",柳林,2016-06-09,76.9,43
"		192",柳林,2016-06-10,71.5,46
"		192",柳林,2016-06-11,75.6,53
"		192",柳林,2016-06-12,84.4,68
"		192",柳林,2016-06-13,73.4,54
"		192",柳林,2016-06-14,70.4,43
"		192",柳林,2016-06-15,78.6,61
"		192",柳林,2016-06-16,65.6,39
"		192",柳林,2016-06-17,62.9,30
"		192",柳林,2016-06-18,70.3,27
"		192",柳林,2016-06-19,71,36
"		192",柳林,2016-06-20,84.6,67
"		192",柳林,2016-06-21,86,73
"		192",柳林,2016-06-22,88.3,83
"		192",柳林,2016-06-23,71.6,49
"		192",柳林,2016-06-24,79.9,60
"		192",柳林,2016-06-25,57.8,27
"		192",柳林,2016-06-26,62,31
"		192",柳林,2016-06-27,81.8,61
"		192",柳林,2016-06-28,73,47
"		192",柳林,2016-06-29,78.4,61
"		192",柳林,2016-06-30,78.3,58
"		192",柳林,2016-07-01,84.6,79
"		192",柳林,2016-07-02,84.6,72
"		192",柳林,2016-07-03,89.8,80
"		192",柳林,2016-07-04,88.3,75
"		192",柳林,2016-07-05,80.9,66
"		192",柳林,2016-07-06,78.6,60
"		192",柳林,2016-07-07,78.1,56
"		192",柳林,2016-07-08,74.9,52
"		192",柳林,2016-07-09,74.1,43
"		192",柳林,2016-07-10,76.4,53
"		192",柳林,2016-07-11,84.9,65
"		192",柳林,2016-07-12,86.8,75
"		192",柳林,2016-07-13,80.1,57
"		192",柳林,2016-07-14,67.1,36
"		192",柳林,2016-07-15,64.9,40
"		192",柳林,2016-07-16,86.4,68
"		192",柳林,2016-07-17,73.9,49
"		192",柳林,2016-07-18,72.6,48
"		192",柳林,2016-07-19,74.5,49
"		192",柳林,2016-07-20,67.8,49
"		192",柳林,2016-07-21,71.8,49
"		192",柳林,2016-07-22,75.5,56
"		192",柳林,2016-07-23,70.5,49
"		192",柳林,2016-07-24,74.3,54
"		192",柳林,2016-07-25,76.4,52
"		192",柳林,2016-07-26,74.5,57
"		192",柳林,2016-07-27,71.6,49
"		192",柳林,2016-07-28,73.6,58
"		192",柳林,2016-07-29,74.6,51
"		192",柳林,2016-07-30,69.9,42
"		192",柳林,2016-07-31,68,42
"		192",柳林,2016-08-01,73.9,45
"		192",柳林,2016-08-02,78.9,51
"		192",柳林,2016-08-03,78.3,50
"		192",柳林,2016-08-04,73.6,51
"		192",柳林,2016-08-05,69.8,43
"		192",柳林,2016-08-06,67.5,39
"		192",柳林,2016-08-07,69.8,41
"		192",柳林,2016-08-08,73,37
"		192",柳林,2016-08-09,73.8,50
"		192",柳林,2016-08-10,67,44
"		192",柳林,2016-08-11,67.1,34
